test_case_id,risk_category,input_description,expected_challenge,learning_objective,input_data,actual_output,quality_rating,notes,patterns_observed,improvement_ideas,completed_date
R1-TC01,Multi-connection misclassification,"Maria, VP Data Science, from Mexico — same domain AND shared Latino immigrant experience","Navigator picks domain over cultural/immigrant angle — misses the distinctive connection at VP level where domain competence is table stakes","Does the navigator identify that cultural/immigrant experience is the highest-leverage angle when the contact shares both domain and cultural background?","Contact: Maria, VP of Data Science at a major Canadian bank. Originally from Mexico, transitioned from academia to industry 8 years ago. You connected through a Women in Data Science event. Your goal: understand how she navigated Canadian corporate culture as a Latin American professional and what she wishes she'd known. You are: Colombian newcomer, PhD in Chemical Engineering, transitioning to industry in Canada.",,,,,,
R1-TC02,Multi-connection misclassification,"Carlos, former colleague from home country, different Canadian company, different field — warm personal relationship + shared immigrant journey","Navigator focuses on shared newcomer journey instead of personal warmth — treats a reconnection with a friend as a newcomer networking call","Does the navigator prioritize personal warmth over shared circumstance when a genuine personal relationship is the real connection anchor?","Contact: Carlos, Senior Product Manager at a Toronto tech startup. You worked together in Bogotá 5 years ago — good friends, kept in touch. He moved to Canada 3 years ago, you arrived 18 months ago. He works in product, you're in data science. Your goal: reconnect, hear about his Canadian experience, and get his perspective on the job market.",,,,,,
R1-TC03,Multi-connection misclassification,"Ahmed, Director of Analytics at a healthcare company — vague domain overlap only, no prior relationship, no shared journey","Navigator mistakes 'similar field' for a real connection type and generates domain-specific questions instead of sector-exploration framing","Does the navigator correctly identify that a vague domain overlap without shared journey or warmth is not a real connection anchor — and frame prep around genuine curiosity instead?","Contact: Ahmed, Director of Analytics at a large Canadian hospital network. You found him on LinkedIn — no mutual connections, no prior interaction. Both of you work with data but in completely different sectors (he's in healthcare, you're in financial risk). Your goal: understand what analytics careers look like in healthcare and whether your skills transfer.",,,,,,
R1-TC04,Multi-connection misclassification,"Jin, Korean-Canadian Engineering Manager — shared immigrant experience across different cultures and different fields","Navigator ignores the shared immigrant/visible minority experience because they're not both Latino — misses that navigating Canada as a visible minority is a real connection across cultural backgrounds","Does the navigator recognize shared immigrant and visible minority experience as a valid connection type even when the cultural backgrounds are different?","Contact: Jin, Engineering Manager at a Vancouver fintech company. Originally from South Korea, has been in Canada for 6 years. You connected through a Newcomers in Tech LinkedIn group. Different fields (engineering vs. data science), different cultural backgrounds. Your goal: understand how he navigated the Canadian job market as a visible minority and built his professional network.",,,,,,
R1-TC05,Multi-connection misclassification,"Dr. Sarah, professor who supervised the newcomer's Canadian certification course — domain + academic context + existing mentorship relationship","Navigator blends all three connection angles instead of going deep on the existing relationship — diluted prep from abundance of connections","Does the navigator prioritize the existing personal relationship over other connection types when multiple valid angles are present?","Contact: Dr. Sarah, Professor of Data Science at Western University. She supervised your graduate certificate program last year and wrote you a reference letter. She knows your work well. She is also in your field and has industry connections. Your goal: get her advice on positioning yourself for industry roles and ask if she has any contacts she'd be willing to introduce.",,,,,,
R7-TC01,Relationship depth blindness,"Ana (HR Director) offered to introduce newcomer to a Shopify contact unprompted during the call","Navigator focuses on thank-you email mechanics and misses reflection prompts about what an unprompted offer signals","Does the navigator generate reflection prompts that help the newcomer recognize an unprompted offer as a strong depth and mentor potential signal?","Post-call notes: Coffee chat with Ana, HR Director at a mid-size Toronto tech company. 35 minutes. She answered all my questions about hiring processes. At the end, she said 'I actually know someone at Shopify doing exactly what you described — let me introduce you' — I didn't ask her to. I said thank you. Good call overall.",,,,,,
R7-TC02,Relationship depth blindness,"Marco (Senior Engineer) asked 3 questions about the newcomer's project, asked to see their GitHub, said 'I'd love to hear how this develops'","Navigator treats Marco's reciprocal engagement as a polite close rather than a depth signal","Does the navigator prompt the newcomer to notice and reflect on reciprocal curiosity as a relationship depth indicator?","Post-call notes: Coffee chat with Marco, Senior Software Engineer at a fintech startup. 30 minutes. He answered my questions but also asked me three questions about the agent I'm building — wanted to know about the tech stack, why I chose GCP, and what problem I'm solving. He asked for my GitHub. At the end: 'I'd love to hear how this develops.' Not sure what to do next.",,,,,,
R7-TC03,Relationship depth blindness,"Patricia (Data Science Manager) shared personal struggles unprompted — almost went back home her first year","Navigator focuses on follow-up logistics and misses that personal self-disclosure is a strong trust and mentor potential signal","Does the navigator generate reflection prompts that help the newcomer recognize personal self-disclosure as a trust signal and potential mentor indicator?","Post-call notes: Coffee chat with Patricia, Data Science Manager at a Canadian insurance company. 40 minutes — went over time. She answered my questions and then unexpectedly shared that her first year in Canada was really hard, that she almost went back to Brazil, and that she wishes she'd had someone to guide her through networking. I listened but didn't know how to respond. Felt like a real conversation.",,,,,,
R7-TC04,Relationship depth blindness — correct non-identification,"David (VP Engineering, recruiter referral) — professional, 30 min exactly, no personal engagement, no depth signals","Navigator incorrectly labels as mentor potential based on seniority instead of reading actual signals — false positive test","Does the navigator correctly identify absence of depth signals and help the newcomer recognize this as a useful one-time conversation rather than a relationship to pursue?","Post-call notes: Coffee chat with David, VP of Engineering at a large Canadian bank. Referred by a recruiter. Very professional — answered all my questions about the company and team structure. Exactly 30 minutes, said goodbye warmly. No questions about me beyond my background, no offers, no follow-up suggestions. Good information. Not sure if I should try to keep in touch.",,,,,,
R7-TC05,Relationship depth blindness,"Valentina (Analytics Lead) — newcomer notes 'it was a really good conversation' but captures no specifics","Navigator accepts the vague impression and generates generic follow-up without prompting excavation of what made it good","Does the navigator prompt specific reflection when the newcomer's post-call notes are vague — to prevent loss of insight from a meaningful conversation?","Post-call notes: Coffee chat with Valentina, Analytics Lead at a retail company. 35 minutes. It was a really good conversation. She was very helpful. I feel good about it.",,,,,,
